"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3321456,"October 2, 2025",Massachusetts,Boston,"107 Bloomfield St",1,0,0,0,1,N/A
3321427,"October 2, 2025",Texas,Lewisville,"2100 block of S State Hwy 121",1,0,0,1,1,N/A
3321425,"October 2, 2025","West Virginia",Glasgow,"300 block of 4th Ave",1,0,0,0,0,N/A
3320748,"October 1, 2025",Wisconsin,Barron,"650 Candy Ln",1,1,0,1,0,N/A
3320728,"October 1, 2025",Texas,Euless,"Raider Dr and Euless Blvd",0,1,1,0,0,N/A
3320708,"October 1, 2025",Texas,Houston,"Normandy St and Woodforest Blvd",1,0,0,0,0,N/A
3320672,"October 1, 2025",Florida,"Santa Rosa Beach","146 E Pinehurst Dr",1,1,0,0,0,N/A
3320546,"October 1, 2025",Texas,"San Angelo","4300 block of Oak Grove Blvd",0,1,1,0,0,N/A
3320531,"October 1, 2025",Oklahoma,Yukon,"10801 US-66",0,0,1,0,0,N/A
3320496,"October 1, 2025",Missouri,"Saint Louis","3600 block of Bingham Ave",1,0,0,0,0,N/A
3320457,"October 1, 2025",Mississippi,Tupelo,"Simpson Dr",1,0,0,0,1,N/A
3320343,"October 1, 2025",Maryland,Baltimore,"2500 block of Maisel Ct",1,0,0,0,0,N/A
3320280,"October 1, 2025",Texas,"Fort Worth","4433 South Fwy",1,0,0,0,0,N/A
3321271,"October 1, 2025",Tennessee,Lebanon,"Belotes Ferry Rd",1,0,0,0,0,N/A
3321267,"October 1, 2025",Illinois,Peoria,"N Sheridan Rd and W McClure Ave",1,0,0,0,0,N/A
3321226,"October 1, 2025",Tennessee,Nashville,"S 5th St and Sylvan St",1,3,0,0,0,N/A
3320998,"October 1, 2025","North Carolina",Charlotte,"900 block of Metropolitan Ave",1,0,0,0,0,N/A
3320996,"October 1, 2025",Pennsylvania,Allentown,"Linden St and 8th St",1,0,0,0,0,N/A
3320987,"October 1, 2025",Pennsylvania,York,"600 block of E Princess St",1,0,0,0,1,N/A
3320959,"October 1, 2025",Pennsylvania,Philadelphia,"3000 block of Kensington Ave",1,0,0,0,0,N/A
3319897,"September 30, 2025",Maryland,Baltimore,"3700 block of 5th St",1,0,0,0,0,N/A
3319853,"September 30, 2025",Louisiana,"St Amant","LA-431 and LA-935",0,0,1,0,0,N/A
3320761,"September 30, 2025",Indiana,Goshen,"300 block of Crescent St",1,0,0,0,0,N/A
3319695,"September 30, 2025",Indiana,Indianapolis,"1300 block of N Concord St",1,1,0,0,0,N/A
3320663,"September 30, 2025",California,"Redondo Beach","704 Sapphire St",1,0,0,0,0,N/A
3319746,"September 30, 2025",Pennsylvania,Philadelphia,"N 31st St and W Norris St",1,0,0,0,0,N/A
3319681,"September 30, 2025",Illinois,Chicago,"3737 N Oketo Ave",1,0,0,0,0,N/A
3319628,"September 30, 2025",Virginia,Richmond,"3000 block of Waddington Dr",1,0,1,0,0,N/A
3319568,"September 30, 2025",Georgia,Albany,"219 Philema Rd",1,0,0,0,0,N/A
3320039,"September 30, 2025","North Carolina","Mount Airy","2003 W Pine St",0,0,1,0,0,N/A
3320501,"September 30, 2025","North Carolina",Durham,"1500 block of Lathrop St",1,0,0,0,0,N/A
3320139,"September 30, 2025",Missouri,"Saint Louis","6300 block of Shulte Ave",1,0,0,0,0,N/A
3319873,"September 30, 2025",Virginia,Richmond,"1500 block of Coalter St",1,0,0,0,0,N/A
3319772,"September 30, 2025","North Carolina","Wake Forest","5500 block of Mill Dam Rd",1,0,0,0,1,N/A
3320219,"September 30, 2025",California,Lemoore,"1040 Blake St",0,0,1,0,0,N/A
3320445,"September 30, 2025",Texas,Houston,"8400 block of Bonner Dr",1,0,0,0,1,N/A
3320454,"September 30, 2025",Texas,Houston,"5000 block of Carmen St",1,1,0,0,0,N/A
3320443,"September 30, 2025",Missouri,"Kansas City","Gardner Ave and NE Chouteau Trafficway",1,0,0,0,0,N/A
3319585,"September 30, 2025",Texas,Spring,"22901 Birnam Wood Blvd",1,0,0,0,0,N/A
3320288,"September 30, 2025",Delaware,Magnolia,"800 block of Millchop Ln",1,0,0,0,1,N/A
3320329,"September 30, 2025",Texas,"El Paso","Newman St and Magoffin Ave",1,0,0,0,1,N/A
3320037,"September 30, 2025",Louisiana,Hammond,"13000 block of Miley Niquiporo Ln",1,0,0,0,0,N/A
3319347,"September 30, 2025",Illinois,Chicago,"2910 W Harrison St",1,0,0,0,0,N/A
3319728,"September 30, 2025",Indiana,Indianapolis,"5200 block of Austral Dr",1,0,0,0,0,N/A
3320347,"September 30, 2025",Louisiana,"New Orleans","3500 block of Bienville St",1,0,0,1,1,N/A
